#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-09-20 12:38:42.445
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 200
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (*)
4552.935074866952,-1.07913752198419,1.678644715995127
4937.047852838999,-1.063750227606467,1.609729609018217
5353.566677410725,-1.04959406311244,1.532927001651295
5805.225516094895,-1.036494005896622,1.453450771816335
6294.988990221887,-1.023038522028573,1.373022374119088
6826.071834272392,-1.010410096723898,1.288632419910662
7401.959996915637,-0.9992279333076441,1.191965466988972
8026.433522257174,-0.9873816831126612,1.104663052704993
8703.591361485165,-0.9791569825811842,1.006266143035134
9437.87827777538,-0.9690020108867317,0.9165498421026541
10234.11402105454,-0.962177759739678,0.8210607672091612
11097.52496412071,-0.9544383283363224,0.7189486051804863
12033.77840777589,-0.9483043156399731,0.6199314777966265
13049.01978014402,-0.9420889734589671,0.5254310524950228
14149.91297434576,-0.9378219107807896,0.4223203145824357
15343.68408930013,-0.9327774261192272,0.3297470083941931
16638.16886076127,-0.9288596778289258,0.2397366586033627
18041.86409392072,-0.9247635534218718,0.1306897101212741
19563.98343517065,-0.9221272779217792,0.03637777895804106
21214.5178491063,-0.9201107739602515,-0.06455154714774025
23004.30119772919,-0.9184915630543675,-0.1673180155048328
24945.08135230319,-0.9160218101698892,-0.2709700535675097
27049.59730463134,-0.9151148617986669,-0.3720234795050601
29331.66278390042,-0.9136408729017578,-0.4858979245477926
31806.25692794119,-0.9119957306132607,-0.598979697046218
34489.6226040576,-0.9113116960237221,-0.7157820781835937
37399.37302478802,-0.9110030755465853,-0.8339389004792679
40554.60735840828,-0.9109954563659852,-0.966089285303168
43976.03609302721,-0.9124249975385592,-1.104760151131757
47686.11697714469,-0.9129907130983796,-1.238300733858125
51709.2024289676,-0.909232965994756,-1.428728427752745
56071.69938205464,-0.906835015390413,-1.519017701726938
60802.24261649422,-0.9120955633205662,-1.709234897412699
65931.88271333542,-0.9102034583958185,-1.900976640801389
71494.28986597578,-0.9112770675226149,-2.080306208871576
77525.97488629464,-0.910704970583962,-2.294505287545093
84066.52885618334,-0.9117643665063978,-2.519927839009029
91158.88299750819,-0.9139186943107467,-2.755853014356205
98849.59046625586,-0.9125143075010443,-3.016962430414457
107189.1319205128,-0.9147526611799954,-3.271763978826471
116232.2468679853,-0.9155284104911808,-3.568467927014282
126038.2929679729,-0.9176855419774625,-3.881734243487955
136671.6356462006,-0.9217231567782459,-4.227121444465261
148202.0705798858,-0.9219155823253808,-4.59942466023162
160705.2818261638,-0.9243621865778315,-5.007445093218536
174263.3386009651,-0.927628912604751,-5.443676589478827
188965.2339691212,-0.9322957700208884,-5.90632626556301
204907.4689815846,-0.9356759029256396,-6.409223000414443
222194.6860939523,-0.9427585035873187,-6.962681110869312
240940.3560239525,-0.9503342457816476,-7.533754824933879
261267.5225563329,-0.9532792307693599,-8.170810194978841
283309.6101839327,-0.9608994831837263,-8.855445536336212
307211.2998861756,-0.9697955202591934,-9.593848402035093
333129.4787934672,-0.976367592762203,-10.4101313684797
361234.269970943,-0.9833933331210389,-11.26983863097577
391710.149080926,-0.9930576400630493,-12.26335863587954
424757.1552536903,-1.005805294670369,-13.29763414952676
460592.2041145104,-1.017179585563871,-14.45911197280094
499450.5115855138,-1.03429747264234,-15.71261950403222
541587.137807947,-1.052745964817227,-17.08018731728588
587278.6613189484,-1.079520911009836,-18.59144671385823
636824.9944718593,-1.108948581457647,-20.21732395974501
690551.3520162323,-1.147092696079127,-22.02339734031069
748810.3857590018,-1.190372903057539,-23.99671308510688
811984.4993184009,-1.25239809767523,-26.19018230631633
880488.3581643464,-1.32682909031888,-28.56385502892318
954771.6114208066,-1.416346703871824,-31.2004505862467
1035321.843295661,-1.537918721140195,-34.03317881131592
1122667.773510813,-1.687429082653184,-37.13637283072174
1217382.727739661,-1.876487902514903,-40.50360208905094
1320088.400831418,-2.107549909512758,-43.98687971103708
1431458.93752348,-2.385747621558746,-47.71378013166692
1552225.357427049,-2.720212517977157,-51.5468930963337
1683180.353330956,-3.11198518628545,-55.49337169448883
1825183.494319043,-3.570526940698774,-59.46922191635336
1979166.867853557,-4.076883300275242,-63.3945459529175
2146141.197858405,-4.651780858564144,-67.37203623572421
2327202.478960411,-5.273468205900182,-70.9524636263954
2523539.170434765,-5.962292590851161,-74.46944280613144
2736439.99707467,-6.657038924654783,-77.95692471790744
2967302.408188869,-7.411127952096908,-80.9767533168158
3217641.750250738,-8.191625652496654,-83.88307116838037
3489101.213406776,-9.023054037986851,-86.47984666637167
3783462.617131927,-9.838892723730892,-88.79409154107356
4102658.105827191,-10.74568043797972,-91.10954701082008
4448782.831127585,-11.60432285014016,-93.23340393352822
4824108.704165372,-12.45530820246229,-95.10612729488766
5231099.308056266,-13.3947927809521,-97.17196072686347
5672426.068491975,-14.25388707064308,-99.02140189393837
6150985.7885805,-15.22124164601638,-100.688066562906
6669919.663030121,-16.20115856296224,-102.4548145541941
7232633.896483539,-17.09302365585769,-104.6429126005404
7842822.061337685,-18.11378987731393,-107.5715771315085
8504489.341802673,-19.28333241197291,-109.9736143358785
9221978.823334325,-20.10298874100264,-112.4740465541806
10000000,-21.20898080568609,-119.642573564526
