Frequency (Hz),Trace th (*),Trace |Z| (Ohm),corregida
2591.240639,-5.998688428,129.8641322,29.86413221
2745.486556,-5.619936733,129.8317494,29.83174945
2908.9141,-5.257907922,129.8196029,29.8196029
3082.069814,-4.921738775,129.8904604,29.89046038
3265.532777,-4.595943135,129.8918975,29.89189748
3459.916538,-4.2978154,129.968608,29.96860805
3665.871165,-4.005914161,130.0117703,30.01177031
3884.085426,-3.736381676,130.1012888,30.10128881
4115.289086,-3.474603927,130.0892687,30.08926875
4360.255351,-3.243204273,130.2234598,30.22345979
4619.803451,-3.01700818,130.2692616,30.26926159
4894.801385,-2.813233788,130.3490768,30.34907682
5186.168817,-2.624891698,130.4403927,30.44039267
5494.880156,-2.427088352,130.5222101,30.5222101
5821.967813,-2.275879802,130.6390757,30.6390757
6168.525656,-2.115826821,130.7214728,30.72147281
6535.712665,-1.955749793,130.8178414,30.81784144
6924.756808,-1.823787007,130.8823844,30.88238443
7336.959153,-1.702345109,130.9928898,30.99288982
7773.698211,-1.573017398,130.9812542,30.98125417
8236.434552,-1.477810097,131.0976392,31.09763919
8726.715687,-1.357318264,131.2447728,31.24477279
9246.181246,-1.272732461,131.2079856,31.20798558
9796.568457,-1.195220732,131.2697366,31.2697366
10379.71796,-1.098434057,131.3948548,31.39485482
10997.57996,-1.015658081,131.4122569,31.41225694
11652.22074,-0.944887171,131.434946,31.43494597
12345.82961,-0.879122773,131.5498024,31.54980237
13080.72616,-0.822060114,131.5546758,31.55467578
13859.36809,-0.739895836,131.5900165,31.59001652
14684.35938,-0.698087378,131.5490382,31.54903816
15558.459,-0.633151071,131.6090517,31.60905166
16484.5902,-0.601423404,131.6479209,31.64792087
17465.85018,-0.545612647,131.6288349,31.6288349
18505.52053,-0.45106743,131.7342663,31.73426628
19607.0782,-0.420521172,131.6279163,31.62791626
20774.20707,-0.401103684,131.6638333,31.66383332
22010.81034,-0.338069016,131.799787,31.799787
23321.02351,-0.325267472,131.8153927,31.81539266
24709.2283,-0.260964237,131.7225604,31.72256035
26180.06722,-0.222515945,131.7417405,31.7417405
27738.45915,-0.187494677,131.7845877,31.7845877
29389.61575,-0.154007883,131.7771335,31.7771335
31139.05892,-0.120740758,131.8256122,31.82561223
32992.63926,-0.08235967,131.8309168,31.83091683
34956.55563,-0.000747512,131.7637022,31.76370221
37037.37588,-0.004582765,131.8680336,31.86803365
39242.05882,0.059017524,131.8801147,31.88011465
41577.97748,0.046565129,131.7552345,31.75523448
44052.94378,0.116784729,131.7652621,31.76526208
46675.23468,0.29879844,131.7375055,31.73750546
49453.61978,0.184260351,131.8138377,31.81383772
52397.39074,0.267811996,131.7435103,31.74351033
55516.39231,0.270839492,131.84185,31.84184999
58821.05523,0.125851016,132.0700262,32.07002616
62322.43117,0.355909989,131.8277077,31.82770767
66032.22964,0.430786286,131.8674342,31.86743421
69962.85719,0.374282141,132.1029056,32.10290556
74127.45886,0.390849784,131.8380093,31.83800935
78539.96216,0.527816908,131.6587644,31.65876441
83215.12368,0.538527393,132.0223666,32.02236655
88168.57837,0.612845927,131.8492149,31.84921491
93416.89188,0.661977875,131.809357,31.80935702
98977.61595,0.656262269,131.9767288,31.97672882
104869.3471,0.813397528,131.9578383,31.95783826
111111.7888,0.86051718,131.6999897,31.69998973
117725.8174,0.947302408,131.9015273,31.90152732
124733.552,0.976210344,131.7100499,31.71004987
132158.4283,1.104592327,131.639008,31.63900796
140025.277,1.215728115,131.5994635,31.59946348
148360.4069,1.285271233,131.4799365,31.47993653
157191.6929,1.534419452,131.3759651,31.37596506
166548.669,1.720418067,131.2110685,31.21106851
176462.6276,1.984977834,131.0575357,31.05753569
186966.7233,2.332322315,130.9572431,30.9572431
198096.0848,2.613136931,130.6844524,30.68445243
209887.9315,2.910781789,130.3882782,30.3882782
222381.6984,3.297666674,130.1732902,30.17329017
235619.168,3.769887336,129.7778995,29.77789946
249644.6097,4.278322517,129.500551,29.50055101
264504.9285,4.872472988,129.1401287,29.1401287
280249.821,5.537053901,128.8160785,28.8160785
296931.9423,6.321074527,128.5341804,28.5341804
314607.0819,7.080820614,128.2364361,28.23643613
333334.3499,7.936756883,127.9369058,27.93690581
353176.3753,8.90515594,127.7152658,27.71526576
374199.515,9.988821861,127.5407995,27.54079948
396474.0759,11.13206372,127.3410799,27.34107992
420074.55,12.24323043,127.160836,27.16083602
445079.8634,13.5663341,127.1526277,27.15262769
471573.6405,14.98519432,127.1322153,27.1322153
499644.4834,16.44737789,127.1889805,27.18898047
529386.2683,18.10485358,127.5210976,27.52109762
560898.4595,19.76357915,127.6980722,27.69807224
594286.4421,21.39052161,128.1533196,28.15331964
629661.8743,23.25712384,128.8104355,28.81043546
667143.0607,25.1602742,129.6688957,29.66889574
706855.3483,27.10111516,130.9073358,30.90733577
748931.5453,29.07937897,132.2290049,32.22900489
793512.3656,31.04561751,133.7165913,33.71659134
840746.8991,32.94505128,135.3195848,35.31958477
890793.1105,34.8429167,137.2446993,37.24469932
943818.3674,36.58914166,139.2234951,39.22349508
1000000,38.23467557,141.2632924,41.26329243
